cnpj;nome;endereco;cep;cidade;uf;telefone;url;dataQualif
31886799000199;"Associação Casa do Pontal";"Estrada Do Pontal, 3295 - Recreio";22785-560;"Rio de Janeiro";RJ;"(21) 2490-3278";"https://pt-br.facebook.com/pg/museucasadopontaloficial/about/?ref=page_internal;http://www.museucasadopontal.com.br;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=1751&Instituicao=Associacao%20Casa%20do%20Pontal";25/02/2003
07379466000199;"Associação Cultural Buriti";"Avenida Das Américas,1917, Bloco B - Barra Da Tijuca";22631-000;"Rio de Janeiro";RJ;"(21) 2524-5946 / 2533-6317";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=3032&Instituicao=ASSOCIACAO-CULTURAL-BURITI-OSCIP;27/07/2005
05977454000130;"Associação de Cultura e Meio Ambiente";"Rua Barão De Jaguaripe,121/301 - Ipanema";22421-000;"Rio de Janeiro";RJ;"(21) 2423-6306 / 2421-6121";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=3942&Instituicao=ASSOCIACAO%20DE%20CULTURA%20E%20MEIO%20AMBIENTE;23/12/2003
03360608000115;"Associação dos Amigos da Arte Popular Brasileira";"Rua Álvaro Alvim, 27,11 Andar/Sala 113 - Centro";20031-010;"Rio de Janeiro";RJ;"(21) 2558-2023";"http://www.facebook.com/pages/Associacao-dos-Amigos-da-Arte-Popular-Brasileira/754099041358135;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=1738&Instituicao=Associacao-dos-Amigos-da-Arte-Popular-Brasileira";26/11/2002
06370226000160;"Associação o Eco";"Rua Mary Pessoa 256, Fundos - Gávea";22451-220;"Rio de Janeiro";RJ;"(21) 3205-3839";"http://www.oeco.org.br;https://www.facebook.com/pg/siteoeco/about/?ref=page_internal";27/07/2005
06555811000135;"Associação Via Cultural Brasil";"Estrada Rodrigues Caldas, 2010, Fundos/Apt 106 - Taquara";22713-375;"Rio de Janeiro";RJ;"(21) 2401-1607";"http://www.camaradecultura.org;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=4983&Instituicao=Associacao%20Via%20Cultural%20Brasil";20/10/2005
02979479000185;"Câmara de Cultura, Comercio e Turismo Brasil";"Rua São José, 90,Sala 1106 - Centro";20010-020;"Rio de Janeiro";RJ;"(21) 2215-5515 / 2215 - 8689";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=812&Instituicao=Camara-de-Cultura,-Comercio-e-Turismo-Brasil-Paises-Africanos;01/03/2001
01315883000191;"Centro de Estudos de Música Coral";"Rua Conde De Bonfim, 1325, Bloco B/Apto 704 - Tijuca";20530-001;"Rio de Janeiro";RJ;(21)3442-6796;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=2268&Instituicao=CEMCO%20-%20CENTRO%20DE%20ESTUDOS%20DE%20MUSICA%20CORAL;22/12/2006
04906029000198;"Centro Preserv de Promoção do Desenvolvimento Sustentado";"Avenida Rio Branco, 257,Sala 508 - Centro";20040-009;"Rio de Janeiro";RJ;"(21) 2210-1343";"http://www.preserv.org.br;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=992&Instituicao=CENTRO%20PRESERV%20DE%20PROMOCAO%20DO%20DESENVOLVIMENTO%20SUSTENTADO";26/11/2002
06085782000195;"Cinema Nosso";"Rua Voluntários Da Pátria, 53, 2ºAndar - Botafogo";20231-092;"Rio de Janeiro";RJ;"(21) 2505-3300";"http://www.cinemanosso.org.br;https://www.facebook.com/pg/CinemaNosso/about/";10/03/2006
