cnpj;oscip;titulo;texto;fonte
31886799000199;"Associação Casa do Pontal";"Objetivo da OSCIP";"Trabalhar pela memória, reconhecimento e valorização da arte popular brasileira, por meio de atividades de pesquisa, preservação e divulgação ampla de seu acervo, o mais representativo deste gênero no país.";http://www.museucasadopontal.com.br/pt-br/miss%C3%A3o
31886799000199;"Associação Casa do Pontal";"Servicos Prestados";"Artes Plásticas e Visuais, Preservação Cultural e Histórica";http://www.cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=1751&Projeto-Social=Associacao%20Casa%20do%20Pontal
07379466000199;"Associação Cultural Buriti";"Servicos Prestados";"Projetos sociais de Cultura: Artes Plásticas e Visuais. Projetos sociais de Educação e Pesquisa:  Arte-Educação";http://www.cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=3032&Projeto-Social=ASSOCIACAO-CULTURAL-BURITI-OSCIP
05977454000130;"Associação de Cultura e Meio Ambiente";"Servicos Prestados";"Controle e Diminuição de Danos Ambientais, Educação Ambiental, Proteção e Conservação do Patrimônio Natural";http://www.cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=3942&Projeto-Social=ASSOCIACAO-DE-CULTURA-E-MEIO-AMBIENTE
03360608000115;"Associação dos Amigos da Arte Popular Brasileira";Membros;"Associados efetivos (assembléia geral, diretoria, secretaria executiva, conselho fiscal, conselho consultivo), mantenedores, colaboradores, conselheiros e honorários.";https://drive.google.com/file/d/0BzWZugfAibYaRDFFaXF5ck8zYjg/view
03360608000115;"Associação dos Amigos da Arte Popular Brasileira";"Objetivo da OSCIP";"Tem por missão trabalhar pela memória, reconhecimento e valorização da arte popular brasileira, por meio da atividades de pesquisa, educação preservação e divulgação, sobretudo que concerne ao acervo do Museu Casa do Pontal, o mais representativo do país.";https://drive.google.com/file/d/0BzWZugfAibYaRDFFaXF5ck8zYjg/view
03360608000115;"Associação dos Amigos da Arte Popular Brasileira";"Público Alvo";"Público interessado em arte popular brasileira.";http://agenteviaja.net/destinos/maior-museu-de-arte-popular-brasil/
03360608000115;"Associação dos Amigos da Arte Popular Brasileira";"Servicos Prestados";"Apoiar o Museu Casa do Pontal, manter projetos próprios de incentivo à produção, divulgação e pesquisa da arte popular brasileira no Brasil e exterior,implementar programas e projetos com sociedade e órgãos públicos, promover o voluntariado, desenvolver produções cinematográficas e programas de televisão.";https://drive.google.com/file/d/0BzWZugfAibYaRDFFaXF5ck8zYjg/view
06370226000160;"Associação o Eco";Membros;"Presidente: Pedro da Cunha e Menezes|Conselho de Administração: Marcos Sá Corrêa, Maria Tereza Jorge Pádua, Miguel Milano, Marc Dourojeanni, Maria de Lourdes Silva, Pedro da Cunha e Menezes, Luis Octavio da Motta Veiga, Fernando Antonio dos Santos Fernandez|Conselho Fiscal: Carlos Henrique Rossoni, Claudia Duarte Soares, Leonardo José dos Santos|Editor-executivo: Eduardo Pegurier|Editor de Tecnologia: Paulo André Vieira|Repórter de Política Ambiental:Daniele Bragança|Gerente Administrativa: Nádia Santos|Repórter de áreas protegidas: Rafael Ferreira|Rede de Colaboradores: Fabio Pellegrini|Colunistas: Adriano Gambarini, Fabio Olmos, Fernando Fernandes, Guilherme José Purvin de Figueiredo, José Truda Palazzo Jr., Marc Dourojeanni, Maria Tereza Jorge Pádua, Reuber Brandão, Suzana Machado Padua";http://www.oeco.org.br/quem-somos/
06370226000160;"Associação o Eco";"Objetivo da OSCIP";"Dedicar-se a cobertura de pautas sobre o meio ambiente. Nossa razão de ser é a conservação da natureza. Treinar e propiciar experiência a jovens (ou nem tanto) escritores, fotógrafos e cinegrafistas vocacionados à cobertura ambiental, sejam eles jornalistas por formação ou não. ((o))eco é uma escola que espera impulsionar a carreira de profissionais brilhantes, motivados e espalhados por todos os cantos do Brasil.";http://www.oeco.org.br/quem-somos/
06370226000160;"Associação o Eco";Perfil;"Pessoa jurídica. Formação em Design ou Comunicação Social com um mínimo de 5 anos de experiência. Ótima fluência oral e escrita em inglês. Capacidade comprovada, através de materiais já publicados, de produzir infográficos relacionados a temas ambientais. É desejável ter tido passagem por organizações que lidam com desmatamento na Amazônia. É desejável que tenha feito cursos de aperfeiçoamento em infografismo. Jovens (ou nem tanto) escritores, fotógrafos e cinegrafistas vocacionados à cobertura ambiental, sejam eles jornalistas por formação ou não.";"http://www.oeco.org.br/wp-content/uploads/2017/09/TOMADA-DE-PRE%C3%87O-N%C2%BA-002_2017.pdf;http://www.oeco.org.br/quem-somos/"
06370226000160;"Associação o Eco";"Servicos Prestados";"Atividades de associações de defesa de direitos sociais";http://www.empresasrj.com/s/empresa/associacao-o-eco/06370226000160
06555811000135;"Associação Via Cultural Brasil";Membros;"Presidente: Marcio de Franca Santos|Diretores: Claudio Cesar de Oliveira Galvão, Jaqueline Cavalcante Varejão, Marcio de Franca Santos";https://cnpj.rocks/cnpj/06555811000135/associacao-via-cultural-brasil.html
06555811000135;"Associação Via Cultural Brasil";"Servicos Prestados";"Desenvolve projetos sociais de Cultura: Atividades Artísticas e de Espetáculos";http://www.cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=4983&Projeto-Social=Associacao-Via-Cultural-Brasil
02979479000185;"Câmara de Cultura, Comercio e Turismo Brasil";Membros;"Coordenadora Geral: Regina Lima";http://camaradecultura.org/quem-somos/
