oscip;titulo;texto;fonte
"Associação Casa do Pontal";"Patrocinadores/Doações e Voluntariado";Patrocinadores;http://www.museucasadopontal.com.br/pt-br/patrocinadores
"Associação Cultural Buriti";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-25245946 ou pelo e-mail contabilgilberto@bol.com.br , quais as necessidades atuais de trabalho voluntário (caso a lista não esteja disponível nesta página).";http://www.cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=3032&Projeto-Social=ASSOCIACAO-CULTURAL-BURITI-OSCIP
"Associação de Cultura e Meio Ambiente";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-24236306 ou pelo e-mail valente@aicabr.com.br , quais as necessidades atuais de trabalho voluntário (caso a lista não esteja disponível nesta página).";http://www.cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=3942&Projeto-Social=ASSOCIACAO-DE-CULTURA-E-MEIO-AMBIENTE
"Associação o Eco";"Patrocinadores/Doações e Voluntariado";"Apoie o Eco através do link https://pagseguro.uol.com.br/checkout/nc/nl/donation/sender-identification.jhtml?t=000fd42184fdfa107fbdf2f86b5a9f28&e=true#rmcl";https://pagseguro.uol.com.br/checkout/nc/nl/donation/sender-identification.jhtml?t=000fd42184fdfa107fbdf2f86b5a9f28&e=true#rmcl
"Associação o Eco";"Patrocinadores/Doações e Voluntariado";"Aceitamos doações de pessoas físicas e estamos abertos a anúncios e novos patrocínios (Faça download do midia kit).";https://pt.scribd.com/document/342637525/Media-Kit-2017
"Associação Via Cultural Brasil";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-24011607, quais as necessidades atuais de trabalho voluntário (caso a lista não esteja disponível nesta página). VALOR: R$ 225.000,00.  Prazo de 05 (cinco) dias, a contar da publicação, para apresentação de eventuais impugnações, que deverão ser endereçadas à Subsecretaria de Cultura e entregues no Protocolo Geral do CASS (Rua Afonso Cavalcanti, 455/Bl. 01 – Cidade Nova), no horário de 09 às 17 h.";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=4983&Instituicao=Associacao%20Via%20Cultural%20Brasil
"Câmara de Cultura, Comercio e Turismo Brasil";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-22155515, quais as necessidades atuais de doação (caso a lista não esteja disponível nesta página). ";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=812&Instituicao=Camara-de-Cultura,-Comercio-e-Turismo-Brasil-Paises-Africanos
"Centro Preserv de Promoção do Desenvolvimento Sustentado";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-22105394, quais as necessidades atuais de doação (caso a lista não esteja disponível nesta página). Para entregar os objetos normalmente não é necessário marcar hora. Geralmente as instituições não buscam doações na casa dos doadores, sendo necessário entregar direto na instituição.";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=992&Instituicao=CENTRO%20PRESERV%20DE%20PROMOCAO%20DO%20DESENVOLVIMENTO%20SUSTENTADO
"Cinema Nosso";"Patrocinadores/Doações e Voluntariado";"Se você deseja contribuir como voluntário em uma de nossas atividades, preencha o formulário anexo e envie para o email cinemanosso@cinemanosso.org.br com o assunto Voluntário, que entraremos em contato posteriormente. Muito obrigado a todos pela colaboração! Preencha o formulário online: https://docs.google.com/forms/d/e/1FAIpQLSe-1rCDWBmicv0NFRAmhmyVg2TGC0uENPSIcI6d8nK7UVoc-g/viewform?c=0&w=1";http://www.cinemanosso.org.br/site/colabore/
"Cinema Nosso";"Patrocinadores/Doações e Voluntariado";"O contato para doações pode ser realizado através do email cinemanosso@cinemanosso.org.br";http://www.cinemanosso.org.br/site/colabore/
"Fundação Cultural Aro";"Patrocinadores/Doações e Voluntariado";" O ideal é verificar com a instituição, pelo telefone 21-2253-4694, quais as necessidades atuais de doação (caso a lista não esteja disponível nesta página). Para entregar os objetos normalmente não é necessário marcar hora. Geralmente as instituições não buscam doações na casa dos doadores, sendo necessário entregar direto na instituição.";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=989&Instituicao=FUNDACAO%20CULTURAL%20ARO
"Instituição Social Cultural Alegria de Ler";"Patrocinadores/Doações e Voluntariado";" O ideal é verificar com a instituição, pelo telefone 21-25162177 ou pelo e-mail proativacont@hotmail.com , quais as necessidades atuais de trabalho voluntário (caso a lista não esteja disponível nesta página).";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=1429&Instituicao=INSTITUICAO-SOCIAL-CULTURAL-ALEGRIA-DE-LER-ISCAL
"Instituto Art Déco Brasil";"Patrocinadores/Doações e Voluntariado";"Torne-se membro pagando anuidade pelo link http://www.artdecobrasil.com/contato/membro.";http://www.artdecobrasil.com/contato/membro
"Instituto de Desenvolvimento Estudo e Integração pela Animação";"Patrocinadores/Doações e Voluntariado";"Trabalhe Conosco pelo link http://www.animaescola.com.br/br/cv";http://www.animaescola.com.br/br/cv
"Instituto Net Claro Embratel";"Patrocinadores/Doações e Voluntariado";"Mande sua dica, crítica, estudo ou sugestão para o Instituto NET Claro Embratel pelo link https://www.institutoclaro.org.br/participe";https://www.institutoclaro.org.br/participe/
"Instituto Pé no Chão";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-81977978, quais as necessidades atuais de doação (caso a lista não esteja disponível nesta página). Para entregar os objetos normalmente não é necessário marcar hora. Geralmente as instituições não buscam doações na casa dos doadores, sendo necessário entregar direto na instituição.";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=370&Instituicao=Instituto-Pe-no-Chao
"Instituto Tamanduá Synapse Cultural";"Patrocinadores/Doações e Voluntariado";"O ideal é verificar com a instituição, pelo telefone 21-25371211, quais as necessidades atuais de doação (caso a lista não esteja disponível nesta página). Para entregar os objetos normalmente não é necessário marcar hora. Geralmente as instituições não buscam doações na casa dos doadores, sendo necessário entregar direto na instituição.";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=708&Instituicao=Instituto-Tamandua-Synapse-Cultural
